pair,date,hedge_ratio,spread,spread_return,spread_momentum_5,spread_momentum_20,spread_zscore_20,spread_zscore_60,spread_percentile_60,spread_percentile_120,distance_from_mean_20,distance_from_mean_60,zscore_change,spread_volatility_20,spread_volatility_60,realized_volatility,vol_regime_high,vol_regime_low,vol_regime_medium,trend_bullish,trend_bearish,rolling_half_life,rolling_mean_reversion_speed,distance_from_equilibrium,rolling_correlation_20,rolling_correlation_60,rolling_beta,rolling_adf_statistic,rolling_adf_pvalue,rolling_skew,rolling_kurtosis,target
HD-MA,2023-01-04,0.7775562858941975,23.8181427689276,-2.8428982118682598,-6.680612706374518,0.3937474985613676,-2.033244378674207,-0.7432792490722394,0.2833333333333333,0.5333333333333333,-6.625216728812916,-4.098178367577997,-0.483106334528836,2.562945681679567,3.2576032227355043,40.68550138494627,0,1,0,1,0,7.863657533924552,0.08814564692951642,-4.098178367577997,0.7697307037922332,0.9473371949150539,0.7636981870228392,-2.41272111283419,0.138178112029001,-0.1105235584113253,-0.1097566836951174,1.0
HD-MA,2023-01-05,0.7775562858941975,22.47121812369278,-1.3469246452348216,-7.717667506020234,-5.051390734956442,-2.105189843847054,-0.9573916044584099,0.23333333333333334,0.475,-7.719571837299906,-5.216114417851369,-0.21411235538617046,2.3902862259689788,3.258660234851918,37.944617497062346,0,1,0,1,0,7.940194923230318,0.08729599049666044,-5.216114417851369,0.710180700784012,0.9470886511726547,0.772438870468061,-2.3735054183467064,0.1493543477854194,-0.0786585341414401,-0.11785806225808013,1.0
HD-MA,2023-01-06,0.7775562858941975,11.804084870288875,-10.667133253403904,-17.92512629199507,-18.287442714000463,-3.1710828176375214,-2.777546600925779,0.016666666666666666,0.10833333333333334,-17.472332955003786,-15.397187078614,-1.8201549964673691,3.246849358612958,3.460775079956219,51.54213568427676,0,1,0,1,0,7.89439245479934,0.0878024730248306,-15.397187078614,0.45129098695177733,0.9436903113331376,0.7769042130902358,-2.2856723114531596,0.1766305821246909,-0.36822906825273594,0.5498103133989026,0.0
HD-MA,2023-01-09,0.7775562858941975,9.544649726012153,-2.259435144276722,-16.362188298695912,-21.317463364870946,-2.6524535424724465,-3.0016500058799305,0.016666666666666666,0.075,-18.665894931036963,-17.13515464327744,-0.22410340495415149,3.2347589626013398,3.467982588336998,51.35020659768258,0,1,0,1,0,8.390210032942239,0.08261380559467064,-17.13515464327744,0.2952880249919843,0.9379901819630527,0.7810722498654755,-2.1487064973129963,0.22538553989057825,-0.33661427731453614,0.5049528711734538,0.0
HD-MA,2023-01-10,0.7775562858941975,12.109721901917226,2.5650721759050725,-14.551319078878635,-17.21172581636614,-1.9305064874991367,-2.402151402103033,0.05,0.125,-15.240236464313586,-14.190428812897142,0.5994986037768975,3.3318647204363634,3.416078770520533,52.89171271430619,0,1,0,1,0,7.951126056909299,0.08717597678603277,-14.190428812897142,0.26071409733637757,0.9314416600526786,0.7751886852146751,-2.2870514682896177,0.17617814467573079,-0.39805050832227873,0.6854287649014992,0.0
HD-MA,2023-01-11,0.7775562858941975,14.588505202204487,2.4787833002872617,-9.229637566723113,-14.523193620529696,-1.4366998804856435,-1.8913856922112429,0.06666666666666667,0.175,-12.03529348299984,-11.404003881548881,0.5107657098917902,3.4127587040784304,3.4302426112203204,54.17586489397561,0,1,0,1,0,8.075161377550016,0.08583694469400739,-11.404003881548881,0.36324119450143466,0.9255496352746158,0.7696231024670032,-2.2601889661875245,0.1851293442795932,-0.44679733091603857,0.6679802632049606,1.0
HD-MA,2023-01-12,0.7775562858941975,13.901778185180262,-0.686727017024225,-8.569439938512517,-20.505943665356426,-1.3560769704161206,-1.9110895769387963,0.06666666666666667,0.15833333333333333,-11.696723316756241,-11.778592288610483,-0.019703884727553467,3.1054851551181635,3.4305651338003518,49.29804852387303,0,1,0,0,1,8.13198019186179,0.08523719490286306,-11.778592288610483,0.4910797672064513,0.9200767695577579,0.7611923111780993,-2.2488758205062602,0.1889866869457742,-0.4426262404592881,0.6640489929313652,1.0
HD-MA,2023-01-13,0.7775562858941975,18.407505637649933,4.505727452469671,6.603420767361058,-16.223018398064994,-0.7511774287185619,-1.1407877357355836,0.16666666666666666,0.2916666666666667,-6.379844944383322,-7.045658706542859,0.7703018412032128,3.3352505782126287,3.4861944258108704,52.94546154020998,0,1,0,0,1,7.42002311032574,0.09341577111739158,-7.045658706542859,0.624282030953401,0.9183989588881366,0.7615009465392415,-2.4861186913220337,0.11888843255183551,-0.45110905284802405,0.5373685949452562,1.0
HD-MA,2023-01-17,0.7775562858941975,15.417083680823794,-2.9904219568261396,5.87243395481164,-22.422498057986104,-1.0118416020747447,-1.5643020805396732,0.1,0.19166666666666668,-8.249141998310158,-9.871703010015953,-0.42351434480408967,3.228324475369609,3.3993492854869607,51.2480622795063,0,1,0,0,1,7.36455911221508,0.09411930436002211,-9.871703010015953,0.7481087919511248,0.9090939720982283,0.7444445101651191,-2.481710841808009,0.11998792570503619,-0.4289041608868388,0.7137002170278036,1.0
HD-MA,2023-01-18,0.7775562858941975,16.52040058440633,1.103316903582538,4.410678682489106,-17.710466576839053,-0.7921721970444353,-1.361448365884749,0.11666666666666667,0.20833333333333334,-6.260301765885664,-8.695555992936495,0.2028537146549243,3.209110192906373,3.357337504328574,50.94304500139667,0,1,0,0,1,6.573384658224129,0.10544753070136116,-8.695555992936495,0.795007786730023,0.8961013398837231,0.7188188101087148,-2.82105572977196,0.05532848227939584,-0.49396217839867895,0.9172347770813227,1.0
