Date,Portfolio Equity
2023-01-23,136.25855532989047
2023-01-24,136.18817858327827
2023-01-25,136.0291205039024
2023-01-26,137.47376026636778
2023-01-27,139.81470281973463
2023-01-30,139.79610388000617
2023-01-31,139.83863151242963
2023-02-01,139.61026017766304
2023-02-02,139.66015671097796
2023-02-03,140.1777752939916
2023-02-06,140.53843416422245
2023-02-07,140.70372394441216
2023-02-08,140.6628683018737
2023-02-09,140.6628683018737
2023-02-10,140.6628683018737
2023-02-13,140.6628683018737
2023-02-14,140.6628683018737
2023-02-15,140.6628683018737
2023-02-16,140.6628683018737
2023-02-17,140.6628683018737
2023-02-21,140.6628683018737
2023-02-22,140.98971552998833
2023-02-23,141.21380902828423
2023-02-24,140.23308619673554
2023-02-27,139.73468172833157
2023-02-28,141.6452239077174
2023-03-01,140.57404550890402
2023-03-02,142.80018846118946
2023-03-03,142.35871414980244
2023-03-06,143.74242604674984
2023-03-07,145.9675637383006
2023-03-08,147.88912577566816
2023-03-09,149.9885042492914
2023-03-10,153.17426638192717
2023-03-13,152.7395438764444
2023-03-14,152.96676904346248
2023-03-15,151.5431140293859
2023-03-16,152.06799701177772
2023-03-17,150.65783797830133
2023-03-20,150.74548482107457
2023-03-21,151.86543915658618
2023-03-22,151.10621398448149
2023-03-23,150.40587291000912
2023-03-24,149.85681927197925
2023-03-27,151.57037620636743
2023-03-28,151.77544857633058
2023-03-29,151.65337473149188
2023-03-30,151.10452606423783
2023-03-31,149.72627467438843
2023-04-03,148.63053821528644
2023-04-04,147.80118167254196
2023-04-05,148.45417733068192
2023-04-06,149.77006945514893
2023-04-10,150.19552987445547
2023-04-11,150.34906366458426
2023-04-12,150.58450914525338
2023-04-13,149.94726788147887
2023-04-14,152.39483650623413
2023-04-17,153.20975837936658
2023-04-18,153.13147185447417
2023-04-19,153.30453403139333
2023-04-20,152.6792328166437
2023-04-21,152.10654732111948
2023-04-24,152.27709890089193
2023-04-25,152.2672716259684
2023-04-26,152.27333069496748
2023-04-27,151.78131740702875
2023-04-28,151.12470639508638
2023-05-01,151.52986964643802
2023-05-02,149.3981769895649
2023-05-03,149.23581312394737
2023-05-04,147.89762065045116
2023-05-05,148.75836634865303
2023-05-08,149.40079924789944
2023-05-09,150.02026243060317
2023-05-10,149.60685903907265
2023-05-11,149.6973640207555
2023-05-12,149.51784139339946
2023-05-15,151.07410549082886
2023-05-16,151.0069683894816
2023-05-17,150.20871944300373
2023-05-18,149.3763067691063
2023-05-19,150.81518009318356
