Date,AAPL,AMZN,BAC,CVX,DIS,GOOGL,GS,HD,JPM,KO,LOW,MA,META,MSFT,NFLX,NVDA,PEP,V,WFC,XOM
2023-07-31,193.73402404785156,133.67999267578125,29.83924674987793,144.23629760742188,86.84485626220703,131.63206481933594,331.7226867675781,311.72344970703125,148.53761291503906,57.06310272216797,221.9963836669922,387.958251953125,316.1192626953125,328.1553955078125,43.89699935913086,46.692501068115234,170.60650634765625,232.36447143554688,42.83085250854492,97.00943756103516
2023-08-01,192.9055938720703,131.69000244140625,29.484907150268555,143.03768920898438,86.98163604736328,130.47169494628906,333.4471130371094,310.0707702636719,147.8041229248047,56.915679931640625,220.17698669433594,390.7035217285156,320.1972351074219,328.5657043457031,43.86199951171875,46.47067642211914,170.0240478515625,234.3682098388672,42.413299560546875,96.44857788085938
2023-08-02,189.91754150390625,128.2100067138672,29.083940505981445,140.77273559570312,84.31444549560547,127.32762908935547,327.2763366699219,306.7372741699219,146.13031005859375,57.09075164794922,217.46682739257812,383.76654052734375,311.86260986328125,319.9300842285156,42.970001220703125,44.23442077636719,171.38006591796875,232.19833374023438,41.847293853759766,95.24547576904297
2023-08-03,188.52699279785156,128.91000366210938,29.289085388183594,140.71983337402344,83.52307891845703,127.39706420898438,329.1965637207031,307.99786376953125,147.02365112304688,56.795894622802734,214.8419189453125,386.7086486816406,310.75140380859375,319.10943603515625,43.099998474121094,44.48023223876953,170.29702758789062,233.3712158203125,42.221343994140625,96.90088653564453
2023-08-04,179.47389221191406,139.57000732421875,29.186513900756836,140.40255737304688,84.31444549560547,127.05984497070312,329.25244140625,304.8044128417969,146.7133331298828,55.93898391723633,211.43051147460938,385.07525634765625,308.310546875,320.20355224609375,43.15999984741211,44.64509963989258,168.00364685058594,233.5960693359375,41.9408073425293,97.17227172851562
2023-08-07,176.37733459472656,142.22000122070312,29.727346420288086,140.9137420654297,84.83224487304688,130.45181274414062,331.4337158203125,307.3628845214844,147.4091796875,56.381256103515625,211.6011199951172,390.5068054199219,314.0951843261719,322.479736328125,44.07600021362305,45.38152313232422,170.08775329589844,236.05917358398438,42.13719177246094,96.97325134277344
2023-08-08,177.314208984375,139.94000244140625,29.158536911010742,140.7021942138672,86.10234069824219,130.32289123535156,324.6290588378906,306.093017578125,146.58168029785156,56.132476806640625,209.3363494873047,386.8857727050781,310.2056884765625,318.5135192871094,43.83000183105469,44.629112243652344,167.85800170898438,233.88926696777344,41.59480667114258,97.45269775390625
2023-08-09,175.72645568847656,137.85000610351562,28.776222229003906,140.88729858398438,85.47706604003906,128.59713745117188,319.43701171875,306.46649169921875,144.61634826660156,56.261478424072266,208.13287353515625,387.3581237792969,302.83349609375,314.7818603515625,42.88999938964844,42.5207633972168,167.4393768310547,234.34869384765625,40.88410568237305,99.10811614990234
2023-08-10,175.50949096679688,138.55999755859375,28.85082244873047,141.7421417236328,89.64881896972656,128.6269073486328,317.3023681640625,307.5776672363281,144.40003967285156,56.132476806640625,209.2889404296875,390.7724914550781,303.3594055175781,315.4656066894531,42.99800109863281,42.354896545410156,167.23004150390625,235.18106079101562,40.83734130859375,99.61470031738281
2023-08-11,175.56875610351562,138.41000366210938,29.17719078063965,144.66812133789062,86.97186279296875,128.4979705810547,317.6099853515625,309.1743469238281,145.23696899414062,56.362831115722656,211.97067260742188,388.6471252441406,299.2913818359375,313.59002685546875,42.16600036621094,40.82308578491211,167.4939727783203,235.06350708007812,40.893455505371094,101.16157531738281
2023-08-14,177.21786499023438,140.57000732421875,28.84149742126465,144.56239318847656,86.76669311523438,130.2534637451172,314.8228759765625,308.0911865234375,145.53790283203125,56.09562683105469,214.05538940429688,392.1893615722656,303.8058776855469,316.5500183105469,42.77799987792969,43.71882247924805,167.11170959472656,237.86424255371094,40.90281295776367,101.24298095703125
